station_ID,num of measurements 1961-2000,lat,lon
86565,120,52.46667,13.4
86566,78,53.35,7.2
86567,120,53.63333,10.0
86568,120,54.1,13.4
86569,120,54.18333,12.08333
86570,120,54.53333,9.55
86571,119,35.33333,25.18333
86572,120,36.83333,21.71667
86573,120,37.06667,22.01667
86574,120,37.7,26.9
86575,120,37.78333,20.9
86576,120,37.9,23.73333
86577,119,37.96667,23.71667
86578,120,38.16667,21.41667
86579,120,39.61667,19.91667
86580,120,39.63333,22.41667
86581,119,39.91667,25.23333
86582,120,40.51667,22.96667
86583,120,64.16667,-51.75
86584,120,65.6,-37.63333
86585,120,68.7,-52.85
86586,120,70.48333,-21.95
86587,120,76.76667,-18.66667
86588,120,16.25,-61.51667
86589,94,11.58333,-15.48333
86590,98,11.86667,-15.6
86591,117,6.8,-58.13333
86592,120,49.26667,-72.28333
86593,120,46.0,18.23333
86594,120,46.25,20.08333
86595,120,47.43333,19.18333
86596,120,47.48333,21.61667
86597,120,47.51667,19.03333
86598,120,48.1,20.76667
86599,120,63.4,-20.28333
86600,120,63.96667,-22.58333
86601,120,64.13333,-21.9
86602,120,64.31667,-15.21667
86603,118,64.68333,-14.35
86604,120,65.06667,-22.73333
86605,120,65.68333,-18.1
86606,85,66.53333,-18.01667
86607,120,8.3,73.15
86608,120,8.48333,76.95
86609,116,9.26667,79.3
86610,120,10.23333,77.46667
86611,120,11.25,75.78333
86612,119,11.65,78.16667
86613,120,11.66667,92.71667
86614,120,12.96667,77.58333
86615,120,13.0,80.18333
86616,120,15.48333,73.81667
86617,120,16.2,81.15
86618,120,17.45,78.46667
86619,119,17.71667,83.23333
86620,120,18.53333,73.85
86621,118,18.76667,79.43333
86622,119,18.9,72.81667
86623,120,19.08333,82.03333
86624,120,19.11667,72.85
86625,120,20.46667,85.93333
86626,120,20.7,77.03333
86627,89,20.9,70.36667
86628,120,21.1,79.05
86629,107,22.36667,69.08333
86630,120,22.53333,88.33333
86631,120,22.65,88.45
86632,119,22.71667,75.8
86633,120,23.06667,72.63333
86634,120,23.85,78.75
86635,107,25.45,81.73333
86636,120,25.56667,91.88333
86637,120,26.1,91.58333
86638,120,26.81667,75.8
86639,120,27.48333,95.01667
86640,120,28.0,73.3
86641,120,28.58333,77.2
86642,117,29.16667,75.73333
86643,71,29.46667,79.65
86644,120,31.63333,74.86667
86645,43,-10.16667,123.66667
86646,87,-9.66667,120.33333
86647,94,-8.53333,116.06667
86648,108,-8.21667,114.38333
86649,115,-7.98333,131.3
86650,119,-7.73333,109.01667
86651,77,-7.05,113.96667
86652,120,-6.85,109.15
86653,107,-6.75,108.26667
86654,120,-6.23333,106.65
86655,119,-6.16667,106.81667
86656,120,-6.11667,106.13333
86657,25,-4.45,105.18333
86658,1,-4.06667,138.95
86659,36,-3.8,130.83333
86660,97,-3.7,128.08333
86661,102,-3.45,114.75
86662,118,-3.35,128.88333
86663,13,-3.33333,135.5
86664,120,-2.9,104.7
86665,111,-2.16667,106.13333
86666,116,-2.08333,126.0
86667,118,-1.63333,103.65
86668,51,-1.26667,116.9
86669,48,-1.18333,136.11667
86670,101,-0.88333,134.05
86671,60,0.91667,104.53333
86672,9,1.08333,109.66667
86673,61,1.53333,124.91667
86674,50,1.55,98.88333
86675,46,3.2,106.25
86676,120,25.28333,60.61667
86677,120,25.63333,57.76667
86678,120,26.58333,54.83333
86679,120,27.2,60.7
86680,120,27.21667,56.36667
86681,120,27.33333,62.33333
86682,120,28.95,50.85
86683,120,28.96667,53.68333
86684,120,28.98333,50.83333
86685,120,29.1,58.35
86686,120,29.23333,56.58333
86687,120,29.46667,55.68333
86688,120,29.46667,60.88333
86689,120,29.53333,52.6
86690,120,30.25,56.96667
86691,120,30.36667,48.25
86692,120,31.03333,61.48333
86693,120,31.18333,52.66667
86694,120,31.33333,48.66667
86695,120,31.9,54.28333
86696,120,32.28333,50.85
86697,96,32.4,48.38333
86698,118,32.61667,51.66667
86699,120,32.86667,59.2
86700,120,33.6,56.91667
86701,120,33.63333,46.43333
86702,120,33.98333,51.45
86703,119,34.1,49.76667
